[ 2016-08-23T08:43:44+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (277).
[ 2016-08-23T08:43:52+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (277).
[ 2016-08-23T08:44:05+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (277).
[ 2016-08-23T08:45:26+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (277).
[ 2016-08-23T08:45:39+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (277).
[ 2016-08-23T08:49:56+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (277).
[ 2016-08-23T08:50:21+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (277).
[ 2016-08-23T08:51:04+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (277).
[ 2016-08-23T08:51:24+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (277).
[ 2016-08-23T08:51:32+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (277).
[ 2016-08-23T08:51:52+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (277).
[ 2016-08-23T08:52:43+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (277).
[ 2016-08-23T08:54:33+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (277).
[ 2016-08-23T08:54:59+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (277).
[ 2016-08-23T08:55:33+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (277).
[ 2016-08-23T09:00:39+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (277).
[ 2016-08-23T09:00:52+08:00 ]NOTICE: Use of undefined constant data - assumed 'data'D:\wamp\www\lg\App\Home\Controller\CompanyController.php (112).
[ 2016-08-23T09:00:56+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (277).
[ 2016-08-23T09:04:31+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (277).
[ 2016-08-23T09:04:34+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (277).
[ 2016-08-23T09:05:42+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (277).
[ 2016-08-23T09:05:44+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (277).
[ 2016-08-23T09:06:58+08:00 ]NOTICE: Undefined variable: oldDataD:\wamp\www\lg\Storage\view\compile\0c28e7150ba5d668f4a1564650d3d0d8.php (386).
[ 2016-08-23T09:06:58+08:00 ]NOTICE: Undefined variable: oldDataD:\wamp\www\lg\Storage\view\compile\0c28e7150ba5d668f4a1564650d3d0d8.php (386).
[ 2016-08-23T09:06:58+08:00 ]NOTICE: Undefined variable: oldDataD:\wamp\www\lg\Storage\view\compile\0c28e7150ba5d668f4a1564650d3d0d8.php (386).
[ 2016-08-23T09:06:58+08:00 ]NOTICE: Undefined variable: oldDataD:\wamp\www\lg\Storage\view\compile\0c28e7150ba5d668f4a1564650d3d0d8.php (386).
[ 2016-08-23T09:06:58+08:00 ]NOTICE: Undefined variable: oldDataD:\wamp\www\lg\Storage\view\compile\0c28e7150ba5d668f4a1564650d3d0d8.php (386).
[ 2016-08-23T09:06:58+08:00 ]NOTICE: Undefined variable: oldDataD:\wamp\www\lg\Storage\view\compile\0c28e7150ba5d668f4a1564650d3d0d8.php (386).
[ 2016-08-23T09:06:58+08:00 ]NOTICE: Undefined variable: oldDataD:\wamp\www\lg\Storage\view\compile\0c28e7150ba5d668f4a1564650d3d0d8.php (386).
[ 2016-08-23T09:07:25+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (277).
[ 2016-08-23T09:14:53+08:00 ]NOTICE: Undefined offset: 1D:\wamp\www\lg\Storage\view\compile\ccdbb5a99913c19821d3f579f9bb9393.php (354).
[ 2016-08-23T09:14:53+08:00 ]NOTICE: Undefined offset: 2D:\wamp\www\lg\Storage\view\compile\ccdbb5a99913c19821d3f579f9bb9393.php (354).
[ 2016-08-23T09:15:06+08:00 ]NOTICE: Undefined offset: 1D:\wamp\www\lg\Storage\view\compile\ccdbb5a99913c19821d3f579f9bb9393.php (354).
[ 2016-08-23T09:15:06+08:00 ]NOTICE: Undefined offset: 2D:\wamp\www\lg\Storage\view\compile\ccdbb5a99913c19821d3f579f9bb9393.php (354).
[ 2016-08-23T09:15:15+08:00 ]NOTICE: Undefined offset: 1D:\wamp\www\lg\Storage\view\compile\ccdbb5a99913c19821d3f579f9bb9393.php (346).
[ 2016-08-23T09:15:15+08:00 ]NOTICE: Undefined offset: 2D:\wamp\www\lg\Storage\view\compile\ccdbb5a99913c19821d3f579f9bb9393.php (346).
[ 2016-08-23T09:15:54+08:00 ]NOTICE: Undefined offset: 1D:\wamp\www\lg\Storage\view\compile\ccdbb5a99913c19821d3f579f9bb9393.php (354).
[ 2016-08-23T09:15:54+08:00 ]NOTICE: Undefined offset: 2D:\wamp\www\lg\Storage\view\compile\ccdbb5a99913c19821d3f579f9bb9393.php (354).
[ 2016-08-23T09:16:05+08:00 ]NOTICE: Undefined offset: 1D:\wamp\www\lg\Storage\view\compile\ccdbb5a99913c19821d3f579f9bb9393.php (354).
[ 2016-08-23T09:16:05+08:00 ]NOTICE: Undefined offset: 2D:\wamp\www\lg\Storage\view\compile\ccdbb5a99913c19821d3f579f9bb9393.php (354).
[ 2016-08-23T09:16:21+08:00 ]NOTICE: Undefined offset: 1D:\wamp\www\lg\Storage\view\compile\ccdbb5a99913c19821d3f579f9bb9393.php (354).
[ 2016-08-23T09:16:21+08:00 ]NOTICE: Undefined offset: 2D:\wamp\www\lg\Storage\view\compile\ccdbb5a99913c19821d3f579f9bb9393.php (354).
[ 2016-08-23T09:16:34+08:00 ]NOTICE: Undefined offset: 1D:\wamp\www\lg\Storage\view\compile\ccdbb5a99913c19821d3f579f9bb9393.php (354).
[ 2016-08-23T09:16:34+08:00 ]NOTICE: Undefined offset: 2D:\wamp\www\lg\Storage\view\compile\ccdbb5a99913c19821d3f579f9bb9393.php (354).
[ 2016-08-23T09:16:46+08:00 ]NOTICE: Undefined offset: 1D:\wamp\www\lg\Storage\view\compile\ccdbb5a99913c19821d3f579f9bb9393.php (347).
[ 2016-08-23T09:16:46+08:00 ]NOTICE: Undefined offset: 2D:\wamp\www\lg\Storage\view\compile\ccdbb5a99913c19821d3f579f9bb9393.php (347).
[ 2016-08-23T09:16:51+08:00 ]NOTICE: Undefined offset: 1D:\wamp\www\lg\Storage\view\compile\ccdbb5a99913c19821d3f579f9bb9393.php (347).
[ 2016-08-23T09:16:51+08:00 ]NOTICE: Undefined offset: 2D:\wamp\www\lg\Storage\view\compile\ccdbb5a99913c19821d3f579f9bb9393.php (347).
[ 2016-08-23T09:16:56+08:00 ]NOTICE: Undefined offset: 1D:\wamp\www\lg\Storage\view\compile\ccdbb5a99913c19821d3f579f9bb9393.php (347).
[ 2016-08-23T09:16:56+08:00 ]NOTICE: Undefined offset: 2D:\wamp\www\lg\Storage\view\compile\ccdbb5a99913c19821d3f579f9bb9393.php (347).
[ 2016-08-23T09:17:18+08:00 ]NOTICE: Undefined offset: 1D:\wamp\www\lg\Storage\view\compile\ccdbb5a99913c19821d3f579f9bb9393.php (347).
[ 2016-08-23T09:17:18+08:00 ]NOTICE: Undefined offset: 2D:\wamp\www\lg\Storage\view\compile\ccdbb5a99913c19821d3f579f9bb9393.php (347).
[ 2016-08-23T09:22:26+08:00 ]NOTICE: Undefined offset: 1D:\wamp\www\lg\Storage\view\compile\ccdbb5a99913c19821d3f579f9bb9393.php (347).
[ 2016-08-23T09:22:26+08:00 ]NOTICE: Undefined offset: 2D:\wamp\www\lg\Storage\view\compile\ccdbb5a99913c19821d3f579f9bb9393.php (347).
[ 2016-08-23T09:23:59+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (275).
[ 2016-08-23T09:42:21+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (269).
[ 2016-08-23T09:42:32+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (269).
[ 2016-08-23T09:43:01+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (270).
[ 2016-08-23T09:43:15+08:00 ]EXCEPTION: Method Home\Controller\CompanyController::upload() does not exist
[ 2016-08-23T09:43:22+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (270).
[ 2016-08-23T09:44:25+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (270).
[ 2016-08-23T09:44:37+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (270).
[ 2016-08-23T10:23:12+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (268).
[ 2016-08-23T10:23:32+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (268).
[ 2016-08-23T10:24:03+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (269).
[ 2016-08-23T10:24:17+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (268).
[ 2016-08-23T10:24:32+08:00 ]NOTICE: unlink(): Invalid argumentD:\wamp\www\lg\App\Home\Controller\CompanyController.php (124).
[ 2016-08-23T10:24:38+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (268).
[ 2016-08-23T10:25:11+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (268).
[ 2016-08-23T10:26:27+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (268).
[ 2016-08-23T10:26:44+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (267).
[ 2016-08-23T10:27:09+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (267).
[ 2016-08-23T10:36:16+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (267).
[ 2016-08-23T10:38:52+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (267).
[ 2016-08-23T10:40:07+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (267).
[ 2016-08-23T10:40:52+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (267).
[ 2016-08-23T10:48:39+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (267).
[ 2016-08-23T10:49:08+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (267).
[ 2016-08-23T10:49:24+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (267).
[ 2016-08-23T10:49:58+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (267).
[ 2016-08-23T10:50:06+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (267).
[ 2016-08-23T10:50:37+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (267).
[ 2016-08-23T10:51:18+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (267).
[ 2016-08-23T10:52:37+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (267).
[ 2016-08-23T10:53:50+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (267).
[ 2016-08-23T10:56:12+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (267).
[ 2016-08-23T10:57:11+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (267).
[ 2016-08-23T11:00:17+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (267).
[ 2016-08-23T11:00:36+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (267).
[ 2016-08-23T11:02:10+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (270).
[ 2016-08-23T11:03:58+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (270).
[ 2016-08-23T11:05:38+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (270).
[ 2016-08-23T11:06:04+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (270).
[ 2016-08-23T11:06:17+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (270).
[ 2016-08-23T11:07:31+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (270).
[ 2016-08-23T11:08:34+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (270).
[ 2016-08-23T11:10:59+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (270).
[ 2016-08-23T11:11:54+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (270).
[ 2016-08-23T11:12:10+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (270).
[ 2016-08-23T11:12:16+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (270).
[ 2016-08-23T11:12:40+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (270).
[ 2016-08-23T11:12:45+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (270).
[ 2016-08-23T11:12:49+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (270).
[ 2016-08-23T11:12:54+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (270).
